央视频道,#genre#
CCTV16,http://221.222.79.96:9999/rtp/239.3.1.184:8001
CCTV17,http://221.222.79.96:9999/rtp/239.3.1.151:8144
CCTV1,http://171.83.96.76:8001/rtp/239.254.96.3:7992
CCTV1,http://171.83.96.76:8001/rtp/239.254.96.96:8550
CCTV2,http://171.83.96.76:8001/rtp/239.69.1.102:10250
CCTV2,http://171.83.96.76:8001/rtp/239.254.96.154:8998
CCTV3,http://171.83.96.76:8001/rtp/239.69.1.122:10370
CCTV4,http://171.83.96.76:8001/rtp/239.254.96.155:9004
CCTV4,http://171.83.96.76:8001/rtp/239.69.1.138:10466
CCTV4欧洲,http://171.83.96.76:8001/rtp/239.69.1.231:11028
CCTV4美洲,http://171.83.96.76:8001/rtp/239.69.1.232:11034
CCTV5,http://171.83.96.76:8001/rtp/239.69.1.123:10376
CCTV5+,http://171.83.96.76:8001/rtp/239.254.96.99:8568
CCTV5+,http://171.83.96.76:8001/rtp/239.254.96.234:9484
CCTV6,http://171.83.96.76:8001/rtp/239.69.1.124:10382
CCTV7,http://171.83.96.76:8001/rtp/239.69.1.103:10256
CCTV7,http://171.83.96.76:8001/rtp/239.254.96.156:9130
CCTV8,http://171.83.96.76:8001/rtp/239.69.1.125:10388
CCTV9,http://171.83.96.76:8001/rtp/239.254.96.157:9016
CCTV9,http://171.83.96.76:8001/rtp/239.69.1.104:10262
CCTV10,http://171.83.96.76:8001/rtp/239.69.1.105:10268
CCTV10,http://171.83.96.76:8001/rtp/239.254.96.158:9022
CCTV11,http://171.83.96.76:8001/rtp/239.254.96.9:8028
CCTV11,http://171.83.96.76:8001/rtp/239.69.1.154:10560
CCTV11,http://171.83.96.76:8001/rtp/239.254.96.159:9028
CCTV12,http://171.83.96.76:8001/rtp/239.254.96.160:9034
CCTV12,http://171.83.96.76:8001/rtp/239.69.1.106:10274
CCTV13,http://171.83.96.76:8001/rtp/239.254.96.11:8040
CCTV13,http://171.83.96.76:8001/rtp/239.254.96.161:9040
CCTV14,http://171.83.96.76:8001/rtp/239.69.1.107:10280
CCTV14,http://171.83.96.76:8001/rtp/239.254.96.162:9046
CCTV15,http://171.83.96.76:8001/rtp/239.254.96.13:8052
CCTV15,http://171.83.96.76:8001/rtp/239.69.1.155:10566
CCTV16,http://171.83.96.76:8001/rtp/239.69.1.247:11124
CCTV16,http://171.83.96.76:8001/rtp/239.69.1.249:11136
CCTV17,http://171.83.96.76:8001/rtp/239.69.1.153:10554
CCTV17,http://171.83.96.76:8001/rtp/239.69.1.152:10548
CCTV4K,http://171.83.96.76:8001/rtp/239.69.1.111:10304
CCTV4K,http://171.83.96.76:8001/rtp/239.69.1.12:9712
兵器科技,http://171.83.96.76:8001/rtp/239.69.1.79:10114
风云音乐,http://171.83.96.76:8001/rtp/239.69.1.90:10180
风云足球,http://171.83.96.76:8001/rtp/239.69.1.81:10126
怀旧剧场,http://171.83.96.76:8001/rtp/239.69.1.89:10174
怀旧剧场,http://171.83.96.76:8001/rtp/239.69.1.86:10156
第一剧场,http://171.83.96.76:8001/rtp/239.69.1.74:10084
世界地理,http://171.83.96.76:8001/rtp/239.69.1.91:10186
央视台球,http://171.83.96.76:8001/rtp/239.69.1.98:10224
高尔夫网球,http://171.83.96.76:8001/rtp/239.69.1.83:10138
电视指南,http://171.83.96.76:8001/rtp/239.69.1.87:10162
中学生,http://171.83.96.76:8001/rtp/239.69.2.17:11256
书法频道,http://171.83.96.76:8001/rtp/239.69.1.189:10776
国学频道,http://171.83.96.76:8001/rtp/239.254.96.194:9244
环球奇观,http://171.83.96.76:8001/rtp/239.254.96.192:9232
CCTV-1综合,http://123.112.240.132:5555/rtp/239.3.1.129:8008$北京联通
CCTV-2财经,http://123.112.240.132:5555/rtp/239.3.1.60:8084$北京联通
CCTV-3综艺,http://123.112.240.132:5555/rtp/239.3.1.172:8001$北京联通
CCTV-4中文国际,http://123.112.240.132:5555/rtp/239.3.1.105:8092$北京联通
CCTV-5体育,http://123.112.240.132:5555/rtp/239.3.1.173:8001$北京联通
CCTV-5+体育赛事,http://123.112.240.132:5555/rtp/239.3.1.130:8004$北京联通
CCTV-6电影,http://123.112.240.132:5555/rtp/239.3.1.174:8001$北京联通
CCTV-7国防军事,http://123.112.240.132:5555/rtp/239.3.1.61:8104$北京联通
CCTV-8电视剧,http://123.112.240.132:5555/rtp/239.3.1.175:8001$北京联通
CCTV-9纪录,http://123.112.240.132:5555/rtp/239.3.1.62:8112$北京联通
CCTV-10科教,http://123.112.240.132:5555/rtp/239.3.1.63:8116$北京联通
CCTV-11戏曲,http://123.112.240.132:5555/rtp/239.3.1.152:8120$北京联通
CCTV-12社会与法,http://123.112.240.132:5555/rtp/239.3.1.64:8124$北京联通
CCTV-13新闻,http://123.112.240.132:5555/rtp/239.3.1.124:8128$北京联通
CCTV-14少儿,http://123.112.240.132:5555/rtp/239.3.1.65:8132$北京联通
CCTV-15音乐,http://123.112.240.132:5555/rtp/239.3.1.153:8136$北京联通
CCTV-16奥林匹克,http://123.112.240.132:5555/rtp/239.3.1.184:8001$北京联通
CCTV-17农业农村,http://123.112.240.132:5555/rtp/239.3.1.151:8144$北京联通
CCTV-4欧洲,http://123.112.240.132:5555/rtp/239.3.1.213:4220$北京联通
CCTV-4美洲,http://123.112.240.132:5555/rtp/239.3.1.214:4220$北京联通
CCTV-4K,http://123.112.240.132:5555/rtp/239.3.1.245:2000$北京联通
CGTN,http://123.112.240.132:5555/rtp/239.3.1.215:4220$北京联通
CGTN-纪录,http://123.112.240.132:5555/rtp/239.3.1.216:4220$北京联通
CGTN-法语,http://123.112.240.132:5555/rtp/239.3.1.218:4220$北京联通
CGTN-俄语,http://123.112.240.132:5555/rtp/239.3.1.220:4220$北京联通
CGTN-西班牙语,http://123.112.240.132:5555/rtp/239.3.1.217:4220$北京联通
CGTN-阿拉伯语,http://123.112.240.132:5555/rtp/239.3.1.219:4220$北京联通
中国教育1台,http://123.112.240.132:5555/rtp/239.3.1.57:8152$北京联通
中国教育2台,http://123.112.240.132:5555/rtp/239.3.1.54:4120$北京联通
中国教育4台,http://123.112.240.132:5555/rtp/239.3.1.56:4120$北京联通
CCTV-1综合,http://111.167.17.186:5002/rtp/225.1.1.120:5002$天津联通
CCTV-2财经,http://111.167.17.186:5002/rtp/225.1.1.133:5002$天津联通
CCTV-3综艺,http://111.167.17.186:5002/rtp/225.1.1.158:5002$天津联通
CCTV-4中文国际,http://111.167.17.186:5002/rtp/225.1.1.150:5002$天津联通
CCTV-5体育,http://111.167.17.186:5002/rtp/225.1.1.160:5002$天津联通
CCTV-5+体育赛事,http://111.167.17.186:5002/rtp/225.1.1.121:5002$天津联通
CCTV-6电影,http://111.167.17.186:5002/rtp/225.1.1.195:5002$天津联通
CCTV-7国防军事,http://111.167.17.186:5002/rtp/225.1.1.138:5002$天津联通
CCTV-8电视剧,http://111.167.17.186:5002/rtp/225.1.1.196:5002$天津联通
CCTV-9纪录,http://111.167.17.186:5002/rtp/225.1.1.119:5002$天津联通
CCTV-10科教,http://111.167.17.186:5002/rtp/225.1.1.140:5002$天津联通
CCTV-11戏曲,http://111.167.17.186:5002/rtp/225.1.2.192:5002$天津联通
CCTV-12社会与法,http://111.167.17.186:5002/rtp/225.1.1.142:5002$天津联通
CCTV-13新闻,http://111.167.17.186:5002/rtp/225.1.2.193:5002$天津联通
CCTV-14少儿,http://111.167.17.186:5002/rtp/225.1.1.144:5002$天津联通
CCTV-15音乐,http://111.167.17.186:5002/rtp/225.1.2.194:5002$天津联通
CCTV-16奥林匹克,http://111.167.17.186:5002/rtp/225.1.2.237:5002$天津联通
CCTV-17农业农村,http://111.167.17.186:5002/rtp/225.1.2.52:5002$天津联通
CCTV-4K,http://111.167.17.186:5002/rtp/225.1.2.245:5002$天津联通
中央新影-中学生,http://111.167.17.186:5002/rtp/225.1.1.193:5002$天津联通
